Volt,Volt
-376,-4.6
-372,-4.8
8,-4.8
0,-4.8
-4,-4.6
-380,-4.8
-376,-4.8
-372,-4.8
-372,-4.8
8,-4.8
0,-4.6
0,-4.8
-4,-4.8
-384,-4.8
-376,-4.8
-372,-4.8
-372,-4.8
-284,-4.8
0,-4.8
0,-5
-4,-5
-380,-5
-372,-5
-372,-5
-372,-4.6
8,-4.8
0,-4.8
0,-5.2
-24,-5
-380,-5
-372,-5
-372,-4.8
-372,-5
8,-5
0,-4.8
0,-5
-380,-5
-376,-5
-372,-5
-372,-5
-368,-4.8
4,-5
0,-5
0,-5
-380,-5
-372,-5
-372,-5
-372,-5
-368,-5
8,-5
0,-5
0,-5
-380,-5
-372,-5
-372,-5.2
-372,-4.8
-24,-5
8,-5
0,-5.2
-44,-5.2
-372,-5
-372,-5
-368,-5.2
-368,-5
-8,-5.2
4,-5
4,-5.2
-372,-5
-372,-5.2
-372,-5
-368,-5.2
-368,-5
8,-5
8,-5
4,-5.4
-380,-5.4
-364,-5.2
-368,-5
-368,-5.2
-368,-5.2
8,-5.2
8,-5.2
0,-5.4
-376,-5.2
-372,-5.2
-368,-5.2
-368,-5.4
-368,-5.2
8,-5.2
8,-5
-76,-5.2
-372,-5.4
-372,-5.2
-368,-5.2
-364,-5.4
-168,-5.4
8,-5.2
4,-5.4
0,-5.2
-372,-5.4
-372,-5.4
-364,-5.4
-364,-5
-364,-5.2
8,-5.2
4,-5.6
-372,-5.4
-368,-5.4
-368,-5.4
-364,-5.4
-364,-5.4
12,-5.4
8,-5.4
8,-5.4
-392,-5.4
-368,-5.4
-368,-5.4
-364,-5.4
-364,-5.4
8,-5.2
8,-5.2
-120,-5.6
-368,-5.4
-364,-5.4
-368,-5.4
-364,-5.4
-360,-5.4
8,-5.4
8,-5.4
8,-5.4
-372,-5.4
-368,-5.4
-364,-5.6
-364,-5.2
-364,-5.4
16,-5.4
8,-5.4
-368,-5.6
-364,-5.4
-364,-5.4
-364,-5.4
-364,-5.4
20,-5.4
8,-5.6
8,-5.4
8,-5.4
-372,-5.6
-364,-5.6
-364,-5.6
-364,-5.4
-364,-5.4
16,-5.4
-160,-5.8
-368,-5.6
-364,-5.4
-360,-5.4
-364,-5.4
-360,-5.6
16,-5.6
8,-5.4
8,-5.6
-372,-5.4
-364,-5.6
-364,-5.6
-364,-5.4
-364,-5.4
-364,-5.6
8,-5.4
-368,-5.8
-364,-5.6
-360,-5.4
-360,-5.4
-360,-5.4
24,-5.6
12,-5.6
8,-5.8
8,-5.6
-372,-5.6
-364,-5.8
-364,-5.8
-364,-5.4
-360,-5.8
-360,-5.4
-192,-5.6
-360,-5.8
-360,-5.6
-360,-5.6
-360,-5.6
-356,-5.6
16,-5.8
12,-5.6
8,-5.8
8,-5.8
-368,-5.8
-364,-5.8
-364,-5.8
-360,-5.8
-360,-5.6
24,-5.4
-364,-5.8
-360,-5.8
-360,-5.6
-360,-5.8
-360,-5.6
-44,-5.8
16,-5.8
12,-5.8
8,-5.8
-368,-5.8
-364,-5.8
-364,-5.8
-360,-5.4
-360,-5.6
-360,-5.8
-176,-5.8
-360,-5.8
-360,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
20,-5.8
16,-5.8
16,-5.8
8,-5.8
-372,-5.8
-360,-5.8
-364,-5.8
-360,-5.8
-360,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-260,-5.8
20,-5.8
16,-5.8
16,-5.8
12,-5.8
-364,-5.8
-360,-5.8
-360,-5.6
-360,-5.8
-356,-5.8
-356,-5.8
-356,-6.2
-356,-5.8
-356,-5.8
-356,-5.8
-352,-5.8
28,-5.8
20,-5.8
16,-5.8
16,-5.8
8,-5.8
-364,-6
-356,-6
-360,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-356,-6
-356,-5.8
-356,-5.8
-352,-5.8
-356,-5.8
20,-5.8
20,-5.8
-364,-5.8
-356,-5.8
-356,-5.8
-356,-6
-352,-6
-356,-5.8
24,-5.8
20,-5.8
16,-5.8
-244,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-352,-5.8
-356,-5.8
-352,-5.8
-352,-5.8
-352,-5.8
-352,-5.8
-348,-6.2
-348,-5.8
-352,-5.8
24,-5.8
20,-5.8
16,-6
-360,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-356,-5.8
-352,-5.8
-352,-6
-356,-6
-348,-6
-348,-6
-348,-6
-352,-5.8
28,-5.8
24,-5.8
24,-5.8
8,-6.2
-360,-6
-348,-5.8
-352,-5.8
-356,-5.8
-348,-5.8
-352,-5.8
-348,-6
-348,-6
-348,-6
-348,-5.8
-348,-5.8
-348,-6
28,-5.8
24,-6.2
20,-6
-360,-6
-352,-5.8
-352,-6
-352,-6.2
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
28,-5.8
28,-5.8
24,-6
-348,-6
-352,-6
-348,-6
-348,-6.2
-348,-6
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
36,-5.8
28,-5.8
24,-6
-360,-5.8
-352,-5.8
-352,-6
-348,-6
-348,-6
-348,-6
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-348,-5.8
-344,-5.8
-344,-5.8
32,-5.8
28,-6
28,-6
-352,-6
-356,-6
-348,-6
-348,-6
-348,-6
-348,-5.8
-348,-5.8
-348,-6
-348,-5.8
-348,-5.8
-344,-5.8
-348,-5.8
-344,-5.8
28,-5.8
28,-6
-184,-6
-348,-6
-348,-6
-348,-6
-348,-6.2
-348,-6
-344,-5.8
-348,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
40,-5.8
28,-5.8
28,-5.8
-352,-6
-348,-6
-348,-6
-348,-6
-344,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
36,-5.8
28,-6
-56,-6
-348,-6
-348,-6
-348,-6.2
-344,-6
-344,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
36,-5.8
28,-5.8
-352,-6
-348,-6
-348,-6
-344,-6
-344,-6.2
-344,-6
-344,-5.8
-344,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
44,-5.8
32,-5.8
28,-6
-348,-5.8
-348,-6
-344,-6
-344,-6.2
-344,-6
-344,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-340,-5.8
36,-5.8
32,-6
-304,-6
-348,-6
-344,-6
-344,-6.2
-344,-6.2
-344,-6
-344,-5.8
-344,-5.8
-344,-5.8
-344,-5.8
-344,-6
-344,-6
-344,-5.8
-344,-5.8
36,-6
32,-6
-348,-6.2
-344,-6
-344,-6.2
-344,-6
-344,-6.2
-344,-6
-344,-6
-344,-6
-344,-6
-344,-5.8
-344,-5.8
-336,-6
-340,-6
48,-6
36,-6
-68,-6
-344,-6.2
-344,-6.2
-344,-6.2
-340,-6.2
-344,-6.2
-344,-6.2
-344,-6
-344,-6
-340,-6
-340,-5.8
-336,-6
-344,-5.8
-340,-6.2
44,-6
36,-6
-348,-6.2
-344,-6.2
-344,-6.2
-344,-6.2
-344,-6.2
-344,-6.2
-344,-6
-344,-6
-344,-6.2
-344,-6
-340,-6
-340,-6
-336,-6
-340,-6.2
36,-6
36,-6.2
-344,-6.2
-344,-6.2
-348,-6.4
-344,-6.2
-344,-6.2
-344,-6.2
-340,-6.2
-340,-6.2
-344,-6
-340,-6
-344,-6
-344,-6
-340,-6
60,-6.2
36,-6.2
-168,-6.2
-344,-6.2
-344,-6.2
-344,-6.4
-344,-6.2
-344,-6.2
-340,-6.2
-340,-6
-344,-6.2
-340,-6.2
-340,-6.2
-340,-6
-336,-6
-336,-6.2
44,-6.2
36,-6.2
-348,-6.4
-344,-6.2
-340,-6.4
-340,-6.4
-344,-6.2
-340,-6.2
-340,-6.2
-340,-6.2
-340,-6.2
-340,-6.2
-344,-6
-340,-6.2
-340,-6.2
-340,-6.2
36,-6.2
-52,-6.2
-344,-6.2
-344,-6.4
-344,-6.4
-344,-6.2
-340,-6.4
-340,-6.2
-340,-6.2
-340,-6.2
-336,-6.2
-336,-6.2
-340,-6
-336,-6.2
-336,-6.2
52,-6.2
40,-6.4
-256,-6.4
